protein name	cluster
RNF126	142
OTUB1	142
RNF115	142
HOXB2	142
PIN1	143
EIF3M	143
EP400	143
ITPKB	143
ZNF212	143
FRS2	143
GLI1	143
ZMIZ2	143
ZNF783	143
TEX33	144
CCHCR1	144
PCM1	144
GOLGA1	144
EXOC4	144
ZWINT	144
IQCC	144
PROSER3	144
BFSP1	144
LETMD1	145
RSAD2	145
H4C7	145
APOC1	145
APOC4-APOC2	145
APOC4	145
PORCN	145
MAIP1	145
GSDMA	145
PBX3	146
PPIF	146
FADS6	146
TBRG4	146
ARFIP1	146
INPP5K	146
ABHD4	146
CPLX2	146
TMCO2	146
MINAR1	147
FRYL	147
PDCD10	147
FAM118B	147
PUS10	147
STK25	147
PROSER2	147
C4orf19	147
ABITRAM	147
MRNIP	148
CCDC28A	148
DYNLL1	148
DYNLL2	148
GNL3L	148
FAM117B	148
THAP10	148
PKIA	148
RASGRP4	148
C12orf40	148
UNC45A	149
PLEKHB1	149
RAP1GDS1	149
RAP2B	149
RRAS2	149
NRAS	149
DIRAS1	149
RAB6B	149
RGL3	149
DIRAS2	149
GTF2I	150
FAM136A	150
DPY30	150
CDK17	150
ICA1L	150
DYDC2	150
GPATCH2	150
ASH2L	150
UBXN2A	150
BEND3	150
TRAF2	151
SPAG5	151
TNFAIP3	151
DUSP4	151
RIPK1	151
IMPDH1	151
TIFA	151
NDUFAF3	151
SOX13	151
RNF146	151
RNF4	152
CCL2	152
SUMO1	152
C18orf25	152
NKX3-1	152
ZBTB26	152
ZFP42	152
ZBTB6	152
ZBTB48	152
SLC22A18	152
FAM204A	153
FHL2	153
TSTD2	153
VXN	153
SP2	153
GTF2F2	153
ZNF85	153
ABLIM1	153
CCDC92	153
GLYR1	153
NBPF6	153
UBXN7	154
UBE2D2	154
UBE2D1	154
UBE2D4	154
UBE2D3	154
UBE2E3	154
UBE2E2	154
CHFR	154
RNF11	154
UBTD1	154
ZNRF1	154
PDE4C	155
C11orf65	155
CALM2	155
CALM3	155
CALM1	155
IQCE	155
KCNN1	155
IQCG	155
IQCN	155
POC5	155
SPATA17	155
REX1BD	156
CTAG1B	156
CTAG1A	156
SOHLH1	156
BORCS8-MEF2B	156
KIF26A	156
BORCS8	156
POLM	156
CAMSAP1	156
RANBP10	156
LONRF3	156
VTN	157
OSBP2	157
PLEKHA2	157
DLG3	157
KDELR1	157
EIF4H	157
DLGAP1	157
DLGAP2	157
DLG2	157
DLGAP3	157
MAGI2	157
PPP1R11	158
PPP1R8	158
PPP1R3C	158
PPP1CB	158
PPP1CA	158
TPRN	158
PPP1R2C	158
PPP1CC	158
CSRNP2	158
PPP1R27	158
CSRNP1	158
MAGEA11	159
C18orf54	159
PIK3IP1	159
CLUAP1	159
CORO1A	159
SPDEF	159
GPX7	159
TCF25	159
SNX20	159
CASP7	159
TMEM123	159
TMBIM6	160
HTR2C	160
PEX16	160
TNFRSF17	160
IER3	160
DEFB127	160
PIANP	160
SYT9	160
PI16	160
KCNC1	160
TMUB1	160
GPHB5	160
