protein name	cluster
SEPTIN5	295
SEPTIN12	295
SEPTIN2	295
SEPTIN11	295
ARL3	296
ARL2	296
ARL15	296
UNC119	296
PDE6D	296
PLK3	297
RNF141	297
MVK	297
DCP1A	298
GALK1	298
PNRC2	298
CNOT11	299
FAM193B	299
GPBP1L1	299
PCP2	300
GNAI2	300
GNAI1	300
SPDYC	301
FCF1	301
ARPP19	301
CSDE1	302
HID1	302
CELF3	302
VCAN	303
RAB19	303
LSM11	303
PTCD2	304
USP49	304
NAMPT	304
ARMC8	305
GID8	305
RMND5A	305
POLR1A	306
DYDC2	306
UBXN2A	306
LRMDA	307
PPP3R2	307
RAB32	307
ZKSCAN4	308
PGBD1	308
ZSCAN32	308
ZSCAN21	308
ZSCAN30	308
ZKSCAN7	308
ASAP3	309
PDZD3	309
TAS2R8	309
VWA5A	310
SPSB1	310
ADPRH	310
CCNB1IP1	311
CUL5	311
RNF7	311
STUB1	312
OLFM3	312
E2F8	312
SMAD1	313
SMAD4	313
LEMD3	313
SMAD9	313
MAPK10	314
LDHA	314
LDHB	314
TFDP2	315
E2F6	315
E2F4	315
TFDP1	315
CYREN	316
MKLN1	316
ERCC6L2	316
PFDN2	317
DBI	317
ZNF726	317
BECN1	318
ATG14	318
UVRAG	318
EIF4EBP2	319
EIF4E	319
EIF4EBP3	319
PRC1	320
MAT1A	320
MAT2A	320
PAF1	321
LEO1	321
TCEA3	321
FUZ	322
CPLANE2	322
RND3	322
GLRX2	323
ELF5	323
DCXR	323
TAF9	324
TAF6L	324
TAF9B	324
JADE2	325
ING4	325
MEAF6	325
CALR	326
ACADVL	326
TAF1B	326
PYGM	327
PYGL	327
PYGB	327
EEF1D	328
EEF1A2	328
ABTB1	328
COPS2	329
PSMD11	329
GPS1	329
DLD	330
PDHX	330
ITGB1BP1	330
SGK2	331
PMM2	331
HIRIP3	331
RPAP2	332
GPN1	332
GPN2	332
C1orf174	333
CTDSPL2	333
PDIK1L	333
PPP3CC	334
SPATA33	334
PPP3R1	334
PTP4A1	335
CNNM1	335
PTP4A2	335
SNX31	336
NRBP1	336
C2orf50	336
NR5A2	337
GTF2H2C	337
FAM43A	337
H2AB3	338
H2AB2	338
H2BC13	338
TTR	339
NDUFA5	339
NDUFS3	339
ASB9	340
CKM	340
CKMT1A	340
CKMT1B	340
OCM	340
MCM8	341
FEM1C	341
MALT1	341
SLC44A3	342
IMPA1	342
IMPA2	342
NCL	343
ZFP41	343
AC138696.1	343
ZNF485	343
SINHCAF	343
S100A7	344
S100A7L2	344
S100A7A	344
RBM5	345
MLYCD	345
UBALD1	345
MAPK6	346
MAPKAPK5	346
ANKRD2	346
EED	347
EZH2	347
EZH1	347
B4GALT1	348
OR10G4	348
RPL12	348
CBX5	349
CBX3	349
ZNF280C	349
ZNF280D	349
PRR14	349
MACROH2A2	350
FAM133A	350
H2BC15	350
MACROH2A1	350
RBMX2	350
CLK1	351
SRSF1	351
TRA2B	351
SRSF4	351
ELOB	352
ELOC	352
METTL21C	352
RHOV	353
PAK6	353
BUB1B-PAK6	353
USP46	354
WDR20	354
USP12	354
EEF1B2	355
SPRYD4	355
EEF1G	355
RPL22	356
SURF6	356
FGF11	356
HPCAL4	357
VSNL1	357
TEX13B	357
FAM131C	357
TRAPPC3	358
TRAPPC2	358
TRAPPC2B	358
EPS15L1	358
TRAPPC5	358
