protein name	cluster
BOLA2	136
CLCNKA	136
BOLA1	136
SLITRK5	136
TK1	136
ABHD16A	137
AQP7	137
POLE	137
CLCN7	137
FDPS	137
CYP1A2	137
TEAD3	138
VGLL1	138
VGLL4	138
TEAD2	138
INPP5A	138
YAP1	138
MID2	139
RNF126	139
OTUB1	139
RNF115	139
HOXB2	139
NCOA4	139
TCEA2	140
ZNF444	140
DNAL4	140
NFATC2IP	140
EAF2	140
CCDC157	140
LMO4	141
STAC	141
ZNF135	141
KYNU	141
TTLL7	141
CRNN	141
PEX3	142
PEX19	142
IL23A	142
IFNB1	142
NAT8L	142
PEX26	142
CLASRP	143
CFAP20	143
ARL2BP	143
TBL1X	143
ARL3	143
ARL2	143
KDM1A	144
SPICE1	144
NBPF26	144
STXBP1	144
TNNT1	144
STX19	144
PHKA2	145
PHKB	145
UROD	145
PHKG2	145
PILRA	145
LRATD2	145
CD79A	146
SLC6A12	146
SLC46A3	146
RHO	146
ALG10B	146
HACD4	146
LMNTD2	147
PFDN4	147
RFPL3	147
RGP1	147
EIF1AX	147
C3orf62	147
TXN2	148
FMNL2	148
TACO1	148
CCNL2	148
TMOD4	148
TTC32	148
UBTFL1	149
ZCCHC9	149
OR5AS1	149
OR4F3	149
OR4F16	149
OR4F29	149
NIPAL3	150
MANBAL	150
MPDU1	150
SCRG1	150
KLK5	150
OTOP2	150
CTNNA3	151
RIPPLY3	151
ORC2	151
SPATS1	151
RPS6KA5	151
CMC2	151
ZNF138	152
PDGFB	152
BCCIP	152
RPL23	152
MRPS9	152
CENPJ	152
ASB13	153
ASB9	153
CKM	153
CKB	153
RELA	153
LCK	153
THSD7A	154
LHFPL1	154
IGFBP5	154
MFSD11	154
CLDN6	154
KIAA2013	154
CCDC90B	155
MOB2	155
ATG3	155
FRA10AC1	155
STK38L	155
OR5H1	155
SPATA46	156
MED19	156
USP32	156
ANKRD29	156
FERMT3	156
HLCS	156
GLRX3	157
MOXD1	157
BTRC	157
NTF4	157
TRIM36	157
KLHDC9	157
RNF24	158
ARMC1	158
NT5E	158
NRSN1	158
LHFPL3	158
ZNRF4	158
TRIM29	159
CCDC57	159
CNTF	159
MT1E	159
DCLK2	159
PTCHD3	159
CERS3	160
ALOX5AP	160
SLC29A2	160
TMEM33	160
GJA4	160
PLPP5	160
USP20	161
ATP6V1G1	161
ATP6V1E2	161
HAND2	161
SAMD12	161
ATP6V1G2	161
ARID3C	162
TRIM21	162
GRAP	162
FHOD1	162
CBX4	162
TOX	162
PRAP1	163
RPA2	163
RPA1	163
HSPA6	163
KRT222	163
AC073508.2	163
MYO1F	164
SH2D4A	164
CTTN	164
SH3BP2	164
DBNL	164
HCLS1	164
HHATL	165
C4orf3	165
MILR1	165
SEMA4G	165
DEGS1	165
CCRL2	165
UBR2	166
SUOX	166
MYO1B	166
RPLP1	166
MAGEB10	166
C5orf51	166
CSNK2B	167
ACSL5	167
PIMREG	167
CST1	167
SELENOI	167
TWF1	167
RUFY3	168
CAPN3	168
RAB33A	168
ATG16L1	168
RAB33B	168
RUFY2	168
NFU1	169
CIB3	169
ZNF180	169
ZSCAN5A	169
ZNF146	169
KLF17	169
ACTN3	170
ACTN1	170
MICALL2	170
SYNPO2L	170
MYOZ2	170
ACTN4	170
PCCB	170
MORN4	171
SYTL2	171
HMMR	171
SNCB	171
TRIM44	171
ZNF131	171
SEPTIN6	171
TBC1D3K	172
TBC1D3	172
TBC1D3C	172
MIA3	172
MECOM	172
CLIC3	172
VPS4A	172
DTNBP1	173
SNAPIN	173
IKBIP	173
TPM4	173
PLAC9	173
ENTHD1	173
DENND1C	173
KRIT1	174
UBE2K	174
UBE2L6	174
UBE2L3	174
RNF182	174
BFAR	174
RNF138	174
CACNB3	175
PRKAG1	175
PRKAA2	175
PRKAB1	175
CDX4	175
STAC2	175
SKIV2L	175
PLP1	176
DCT	176
NRG1	176
MYADM	176
TMEM182	176
VAT1	176
DYSF	176
TSC22D3	177
REL	177
FAM217B	177
MORN5	177
MMP2	177
EIF5A2	177
CLIP1	177
C1orf35	178
NKAPD1	178
ARL6IP4	178
RNF151	178
SREK1	178
PRPF40A	178
KRCC1	178
FAM90A1	179
TBC1D22B	179
PKP2	179
LMNB2	179
CCDC198	179
ARHGEF9	179
OVOL1	179
PLPP6	180
SLC35B2	180
AQP8	180
CLDN15	180
PRLR	180
IL13RA2	180
PDGFRA	180
TP53BP2	181
SYTL5	181
CCDC85A	181
CGN	181
SETD5	181
RGMA	181
H2BC9	181
PIK3R3	182
TNK2	182
SH2D1B	182
PIK3R1	182
PLAAT4	182
PIK3CD	182
CCDC89	182
CLCN1	183
FBXO44	183
TYK2	183
TNKS	183
PRDM5	183
VIPR1	183
ADPRS	183
ALS2CL	184
EEF1AKMT3	184
RAB5C	184
APPL2	184
RAB22A	184
SUV39H2	184
RAB31	184
CYTH4	185
CYTH3	185
IPCEF1	185
CNKSR1	185
CCDC120	185
CYTH2	185
CYTH1	185
ZBTB14	186
CAPN6	186
ZNF202	186
CDK16	186
RPS25	186
RNASEH2B	186
WNT9A	186
TCP10L	187
SLC4A7	187
CIAO1	187
HAUS3	187
URI1	187
RGS2	187
CIAO2B	187
LYSMD1	188
TRIM69	188
ASNS	188
FKBP1B	188
POLR3K	188
NEK8	188
ATP5MC1	188
INPP5J	189
CNTROB	189
DUSP13	189
TP63	189
PELI1	189
LMNA	189
RIMS4	189
TNFRSF12A	190
SLC30A2	190
CCL4	190
NDUFAF1	190
TAS2R5	190
GLB1	190
SELL	190
CLNS1A	191
SNRPD3	191
SNRPD2	191
LSM6	191
FRMD7	191
SNRPD1	191
LSM3	191
TNS4	192
AMPH	192
PPP3CA	192
ARL16	192
FAM167A	192
C16orf74	192
ARMT1	192
ATPAF2	193
EBF2	193
POLR3H	193
EBF1	193
EBF3	193
ATP5F1B	193
POLR3F	193
GIMAP6	194
DDIT3	194
BATF3	194
CREBL2	194
TNFSF12	194
JDP2	194
TXNDC2	194
DESI1	195
CTAG2	195
UHRF2	195
KLRF1	195
PRR5	195
SMIM21	195
TAS2R41	195
ZFP91	196
NCL	196
ZFP41	196
AC138696.1	196
LLPH	196
ZNF485	196
SINHCAF	196
TBX2	197
GCSAM	197
MTFR1L	197
CNOT3	197
CNOT2	197
ARMC5	197
GALNT10	197
TNNT2	198
DCAF11	198
ANTKMT	198
TNNI1	198
TNNI2	198
EFCAB2	198
TNNC1	198
SLC9A3R1	199
DAAM2	199
TH	199
ZNF569	199
CRABP1	199
UMAD1	199
NFIC	199
UBXN2B	200
VCP	200
METTL17	200
UBXN1	200
FAM104A	200
PLAA	200
ASPSCR1	200
DOLK	201
SLC7A6	201
KCNA1	201
KCNA10	201
KCNA3	201
GALNT8	201
KCNA6	201
IFI35	202
EML2	202
SETBP1	202
EXD1	202
SPANXA1	202
SPANXA2	202
SPANXD	202
UBASH3A	203
SLA2	203
TIMM44	203
FGFR1OP2	203
SOS1	203
SNRNP48	203
COPS9	203
PSMC3	204
PSMC6	204
CRK	204
CRKL	204
USP53	204
SEC14L5	204
PSMD9	204
RBM41	205
KANK2	205
CDC20B	205
SNX18	205
IKZF4	205
C19orf44	205
ZNF512	205
SET	206
ZNF17	206
ZNF85	206
TEX35	206
SGO2	206
FAM111B	206
REPIN1	206
DTX2	207
COA6	207
